Actual_Digit,Predicted_Digit,Confidence
7,7,0.99999756
2,2,0.9999854
1,1,0.99964213
0,0,0.999758
4,4,0.99999005
1,1,0.99977875
4,4,0.9984805
9,9,0.99927735
5,5,0.9875117
9,9,0.9981931
0,0,0.9999996
6,6,0.9999973
9,9,0.99913704
0,0,0.9999965
1,1,0.9999061
5,5,0.9999439
9,9,0.99992067
7,7,0.9999978
3,5,0.54552346
4,4,0.9999911
9,9,0.9833211
6,6,0.9999544
6,6,0.9999983
5,5,0.9999966
4,4,0.99994725
0,0,0.99988955
7,7,0.99998254
4,4,0.99999994
0,0,0.99999744
1,1,0.9991763
3,3,0.99999875
1,1,0.9975217
3,3,0.99999315
4,4,0.99271595
7,7,0.99999624
2,2,0.9999992
7,7,0.9986455
1,1,0.99969876
2,2,0.9994765
1,1,0.999505
1,1,0.99685186
7,7,0.9943059
4,4,0.99990183
2,2,0.9989686
3,3,0.9992115
5,5,0.9998942
1,1,0.999642
2,2,0.99999994
4,4,0.999763
4,4,0.9999992
6,6,0.9999947
3,3,0.9999977
5,5,0.9999965
5,5,0.99999017
6,6,0.99999994
0,0,0.9999961
4,4,0.99999994
1,1,0.9995031
9,9,0.99995846
5,5,0.9989092
7,7,0.9999905
8,8,0.9999921
9,9,0.6957777
3,3,0.9923537
7,7,0.9999936
4,4,0.99864537
6,6,0.9999357
4,4,0.99964786
3,3,0.9999971
0,0,0.9999983
7,7,0.99999803
0,0,0.9999996
2,2,0.99995357
9,9,0.98589027
1,1,0.99901074
7,7,0.99999887
3,3,0.9999879
2,2,0.99970686
9,9,0.9134789
7,7,0.9999756
7,7,0.9996413
6,6,0.9999904
2,2,0.99999994
7,7,0.99999577
8,8,0.9999961
4,4,0.99998826
7,7,0.9999518
3,3,0.99865806
6,6,0.99999994
1,1,0.99902445
3,3,0.99999875
6,6,0.9999978
9,9,0.97097933
3,3,0.9993641
1,1,0.999794
4,4,0.97892195
1,1,0.9451555
7,7,0.9989855
6,6,0.99993855
9,9,0.9999991
6,6,0.9999991
0,0,0.9999959
5,5,0.9999965
4,4,0.99999994
9,9,0.9920497
9,9,0.99998575
2,2,0.9999837
1,1,0.99643135
9,9,0.9999178
4,4,0.99999994
8,8,0.99999803
7,7,0.98974955
3,3,0.9999636
9,9,0.9999804
7,7,0.99986935
4,4,0.9816769
4,4,0.9998825
4,4,0.99999887
9,9,0.9957038
2,2,0.98510677
5,5,0.9999996
4,4,0.99866676
7,7,0.99999565
6,6,0.99999994
7,7,0.9999586
9,9,0.9695372
0,0,0.9998393
5,5,0.9999978
8,8,0.99999994
5,5,0.9999998
6,6,0.99999017
6,6,0.99998814
5,5,0.99999124
7,7,0.999983
8,8,0.99999934
1,1,0.99994737
0,0,0.99998206
1,1,0.99971855
6,6,0.99999994
4,4,0.99883276
6,6,0.99998146
7,7,0.99999934
3,3,0.9997275
1,1,0.9999562
7,7,0.99970174
1,1,0.99947506
8,8,0.99999887
2,2,0.9999985
0,0,0.99999815
2,2,0.9933445
9,9,0.99997205
9,9,0.9905976
5,5,0.9999767
5,5,0.9998866
1,1,0.9993201
5,5,0.99999934
6,6,0.9999977
0,0,0.9999929
3,3,0.99524826
4,4,0.99980664
4,4,0.99224955
6,6,0.9999991
5,5,0.99999994
4,4,0.99999946
6,6,0.99999267
5,5,0.9999998
4,4,0.9999986
5,5,0.99740815
1,1,0.9994525
4,4,0.9999985
4,4,0.9999954
7,7,0.99586004
2,2,0.9995503
3,3,0.9998205
2,2,0.99999624
7,7,0.95917267
1,1,0.99814904
8,8,0.99989575
1,1,0.99996346
8,8,0.9999961
1,1,0.999845
8,8,0.99999696
5,5,0.9998174
0,0,0.9999997
8,8,0.9745141
9,9,0.9975565
2,2,0.9999662
5,5,0.99999887
0,0,0.9999991
1,1,0.9974382
1,1,0.98843616
1,1,0.9982915
0,0,0.99999326
9,9,0.94522053
0,0,0.9999954
3,3,0.97756463
1,1,0.9996487
6,6,0.9999892
4,4,0.9999972
2,2,0.9980995
3,3,0.99990934
6,6,0.9999996
1,1,0.99977756
1,1,0.99873525
1,1,0.9997885
3,3,0.99998385
9,9,0.99733526
5,5,0.99990636
2,2,0.9999998
9,9,0.9775468
4,4,0.99999756
5,5,0.9954737
9,9,0.99996537
3,3,0.99993056
9,9,0.9976944
0,0,0.99998945
3,3,0.9999998
6,6,0.9789462
5,5,0.99999684
5,5,0.99993855
7,7,0.99983835
2,2,0.99592274
2,2,0.99978733
7,7,0.9998603
1,1,0.99795437
2,2,0.9998799
8,8,0.99999803
4,4,0.9999376
1,1,0.99960476
7,7,0.9994613
3,3,0.99874896
3,3,0.9996753
8,8,0.9998708
8,8,0.99989146
7,7,0.99986553
9,9,0.9986609
2,2,0.99999994
2,2,0.9999952
4,4,0.9999978
1,1,0.9998238
5,5,0.9999946
9,9,0.9910071
8,8,0.99454194
7,7,0.9989631
2,2,0.9966068
3,3,0.99899507
0,0,0.9999998
4,4,0.6730839
4,4,0.9998947
2,2,0.9998417
4,4,0.99987906
1,1,0.9965773
9,9,0.9999892
5,5,0.9999437
7,7,0.9999637
7,7,0.99935013
2,2,0.99942625
8,8,0.998855
2,2,0.99999946
6,6,0.96283776
8,8,0.99999875
5,5,0.99927235
7,7,0.9999911
7,7,0.9999595
9,9,0.9600587
1,1,0.9998646
8,8,0.9775769
1,1,0.9999384
8,8,0.9999866
0,0,0.9999941
3,3,0.9999679
0,0,0.9999798
1,1,0.9998584
9,9,0.9997599
9,9,0.99996907
4,4,0.99997276
1,1,0.9999408
8,8,0.99999636
2,2,0.9999427
1,1,0.99977446
2,2,0.99992126
9,9,0.9998627
7,7,0.9921224
5,5,0.9999953
9,9,0.99982095
2,2,0.99999994
6,6,0.9990964
4,4,0.9998627
1,1,0.9989501
5,5,0.9998157
8,8,0.89965755
2,2,0.99900645
9,9,0.9980314
2,2,0.99999994
0,0,0.99999446
4,4,0.9999955
0,0,0.9999998
0,0,0.9999147
2,2,0.9998936
8,8,0.99997693
4,4,0.9997332
7,7,0.99983096
1,1,0.9998343
2,2,0.9999284
4,4,0.9999904
0,0,0.99998385
2,2,0.999975
7,7,0.99968743
4,4,0.9996704
3,3,0.9999952
3,3,0.9999942
0,0,0.9999594
0,0,0.99999815
3,3,0.99865794
1,1,0.9999115
9,9,0.9999079
6,6,0.9994222
5,5,0.99962753
2,2,0.9990602
5,5,0.9999985
9,8,0.551356
2,7,0.7868042
9,9,0.9991015
3,3,0.99999815
0,0,0.9597766
4,4,0.9996255
2,2,0.83621055
0,0,0.9999979
7,7,0.9999055
1,1,0.99991995
1,1,0.99973655
2,2,0.9999986
1,1,0.99992985
5,5,0.9966261
3,3,0.99999875
3,3,0.9997419
9,9,0.9963564
7,7,0.98692465
8,8,0.9997208
6,6,0.9997361
5,5,0.8160011
6,6,0.99949247
1,1,0.9997914
3,3,0.99998134
8,8,0.999975
1,1,0.99975145
0,0,0.999993
5,5,0.99946415
1,1,0.99975085
3,3,0.99923694
1,1,0.99863476
5,5,0.9999998
5,5,0.9999642
6,6,0.99999255
1,1,0.9995399
8,8,0.9985
5,5,0.99999934
1,1,0.99539137
7,7,0.99766046
9,9,0.81787264
4,4,0.99999374
6,6,0.99999994
2,2,0.99979496
2,2,0.99882597
5,5,0.9999998
0,0,0.99997014
6,6,0.964192
5,5,0.99999946
6,6,0.9992473
3,3,0.9998942
7,7,0.9999942
2,2,0.999999
0,0,0.9999779
8,8,0.99999934
8,8,0.99999624
5,5,0.99999946
4,4,0.9996655
1,1,0.9994334
1,1,0.9995646
4,4,0.99999875
0,0,0.99998087
3,3,0.99340665
3,3,0.99999386
7,7,0.99988526
6,6,0.9999998
1,1,0.9997306
6,6,0.9993891
2,2,0.9999952
1,1,0.9998052
9,9,0.9974505
2,2,0.9999992
8,8,0.9999694
6,6,0.9999985
1,1,0.9993401
9,9,0.9869602
5,5,0.99997765
2,2,0.9999972
5,5,0.9995882
4,4,0.99999696
4,4,0.9999717
2,2,0.9980007
8,8,0.99995655
3,3,0.9999936
8,8,0.99957246
2,2,0.9633945
4,4,0.9999985
5,5,0.9982677
0,0,0.99999887
3,3,0.9999812
